date, venue, home, away, hscore, ascore, hpens, apens, winner
13 Jul 1930,Montevideo ,France,Mexico,4,1,NA,NA,France
15 Jul 1930,Montevideo ,Argentina,France,1,0,NA,NA,Argentina
16 Jul 1930,Montevideo ,Chile,Mexico,3,0,NA,NA,Chile
19 Jul 1930,Montevideo ,Chile,France,1,0,NA,NA,Chile
19 Jul 1930,Montevideo ,Argentina,Mexico,6,3,NA,NA,Argentina
22 Jul 1930,Montevideo ,Argentina,Chile,3,1,NA,NA,Argentina
14 Jul 1930,Montevideo ,Yugoslavia,Brazil,2,1,NA,NA,Yugoslavia
17 Jul 1930,Montevideo ,Yugoslavia,Bolivia,4,0,NA,NA,Yugoslavia
20 Jul 1930,Montevideo ,Brazil,Bolivia,4,0,NA,NA,Brazil
14 Jul 1930,Montevideo ,Romania,Peru,3,1,NA,NA,Romania
18 Jul 1930,Montevideo ,Uruguay,Peru,1,0,NA,NA,Uruguay
21 Jul 1930,Montevideo ,Uruguay,Romania,4,0,NA,NA,Uruguay
13 Jul 1930,Montevideo ,USA,Belgium,3,0,NA,NA,USA
17 Jul 1930,Montevideo ,USA,Paraguay,3,0,NA,NA,USA
20 Jul 1930,Montevideo ,Paraguay,Belgium,1,0,NA,NA,Paraguay
26 Jul 1930,Montevideo ,Argentina,USA,6,1,NA,NA,Argentina
27 Jul 1930,Montevideo ,Uruguay,Yugoslavia,6,1,NA,NA,Uruguay
30 Jul 1930,Montevideo ,Uruguay,Argentina,4,2,NA,NA,Uruguay
27 May 1934,Bologna ,Sweden,Argentina,3,2,NA,NA,Sweden
27 May 1934,Turin ,Austria,France,3,2,NA,NA,Austria
27 May 1934,Florence ,Germany,Belgium,5,2,NA,NA,Germany
27 May 1934,Genoa ,Spain,Brazil,3,1,NA,NA,Spain
27 May 1934,Naples ,Hungary,Egypt,4,2,NA,NA,Hungary
27 May 1934,Milan ,Switzerland,Netherlands,3,2,NA,NA,Switzerland
27 May 1934,Rome ,Italy,USA,7,1,NA,NA,Italy
27 May 1934,Trieste ,Czechoslovakia,Romania,2,1,NA,NA,Czechoslovakia
31 May 1934,Turin ,Czechoslovakia,Switzerland,3,2,NA,NA,Czechoslovakia
31 May 1934,Milan ,Germany,Sweden,2,1,NA,NA,Germany
31 May 1934,Florence ,Italy,Spain,1,1,NA,NA,D
31 May 1934,Bologna ,Austria,Hungary,2,1,NA,NA,Austria
01 Jun 1934,Florence ,Italy,Spain,1,0,NA,NA,Italy
03 Jun 1934,Milan ,Italy,Austria,1,0,NA,NA,Italy
03 Jun 1934,Rome ,Czechoslovakia,Germany,3,1,NA,NA,Czechoslovakia
07 Jun 1934,Naples ,Germany,Austria,3,2,NA,NA,Germany
10 Jun 1934,Rome ,Italy,Czechoslovakia,2,1,NA,NA,Italy
04 Jun 1938,Paris ,Switzerland,Germany,1,1,NA,NA,D
05 Jun 1938,Reims ,Hungary,Dutch East Indies,6,0,NA,NA,Hungary
05 Jun 1938,Paris/Colombes ,France,Belgium,3,1,NA,NA,France
05 Jun 1938,Toulouse ,Cuba,Romania,3,3,NA,NA,D
05 Jun 1938,Marseilles ,Italy,Norway,2,1,NA,NA,Italy
05 Jun 1938,Strasbourg ,Brazil,Poland,6,5,NA,NA,Brazil
05 Jun 1938,Le Havre ,Czechoslovakia,Netherlands,3,0,NA,NA,Czechoslovakia
09 Jun 1938,Toulouse ,Cuba,Romania,2,1,NA,NA,Cuba
09 Jun 1938,Paris ,Switzerland,Germany,4,2,NA,NA,Switzerland
12 Jun 1938,Bordeaux ,Brazil,Czechoslovakia,1,1,NA,NA,D
12 Jun 1938,Lille ,Hungary,Switzerland,2,0,NA,NA,Hungary
12 Jun 1938,Antibes ,Sweden,Cuba,8,0,NA,NA,Sweden
12 Jun 1938,Paris/Colombes ,Italy,France,3,1,NA,NA,Italy
14 Jun 1938,Bordeaux ,Brazil,Czechoslovakia,2,1,NA,NA,Brazil
16 Jun 1938,Paris ,Hungary,Sweden,5,1,NA,NA,Hungary
16 Jun 1938,Marseilles ,Italy,Brazil,2,1,NA,NA,Italy
19 Jun 1938,Bordeaux ,Brazil,Sweden,4,2,NA,NA,Brazil
19 Jun 1938,Paris/Colombes ,Italy,Hungary,4,2,NA,NA,Italy
24 Jun 1950,Rio De Janeiro ,Brazil,Mexico,4,0,NA,NA,Brazil
25 Jun 1950,Belo Horizonte ,Yugoslavia,Switzerland,3,0,NA,NA,Yugoslavia
28 Jun 1950,Sao Paulo ,Brazil,Switzerland,2,2,NA,NA,D
28 Jun 1950,Porto Alegre ,Yugoslavia,Mexico,4,1,NA,NA,Yugoslavia
01 Jul 1950,Rio De Janeiro ,Brazil,Yugoslavia,2,0,NA,NA,Brazil
02 Jul 1950,Porto Alegre ,Switzerland,Mexico,2,1,NA,NA,Switzerland
25 Jun 1950,Rio De Janeiro ,England,Chile,2,0,NA,NA,England
25 Jun 1950,Curitiba ,Spain,USA,3,1,NA,NA,Spain
29 Jun 1950,Rio De Janeiro ,Spain,Chile,2,0,NA,NA,Spain
29 Jun 1950,Belo Horizonte ,USA,England,1,0,NA,NA,USA
02 Jul 1950,Rio De Janeiro ,Spain,England,1,0,NA,NA,Spain
02 Jul 1950,Recife ,Chile,USA,5,2,NA,NA,Chile
25 Jun 1950,Sao Paulo ,Sweden,Italy,3,2,NA,NA,Sweden
29 Jun 1950,Curitiba ,Sweden,Paraguay,2,2,NA,NA,D
02 Jul 1950,Sao Paulo ,Italy,Paraguay,2,0,NA,NA,Italy
02 Jul 1950,Belo Horizonte ,Uruguay,Bolivia,8,0,NA,NA,Uruguay
09 Jul 1950,Sao Paulo ,Uruguay,Spain,2,2,NA,NA,D
09 Jul 1950,Rio De Janeiro ,Brazil,Sweden,7,1,NA,NA,Brazil
13 Jul 1950,Rio De Janeiro ,Brazil,Spain,6,1,NA,NA,Brazil
13 Jul 1950,Sao Paulo ,Uruguay,Sweden,3,2,NA,NA,Uruguay
16 Jul 1950,Sao Paulo ,Sweden,Spain,3,1,NA,NA,Sweden
16 Jul 1950,Rio De Janeiro ,Uruguay,Brazil,2,1,NA,NA,Uruguay
16 Jun 1954,Geneva ,Brazil,Mexico,5,0,NA,NA,Brazil
16 Jun 1954,Lausanne ,Yugoslavia,France,1,0,NA,NA,Yugoslavia
19 Jun 1954,Lausanne ,Brazil,Yugoslavia,1,1,NA,NA,D
19 Jun 1954,Geneva ,France,Mexico,3,2,NA,NA,France
